,A,ACAd,ACAv,AId,AIp,AIv,AL,AM,AUDd,AUDp,AUDpo,AUDv,DP,ECT,FRP,GU,ILA,LI,LLA,LM,MM,MOp,MOs,ORBl,ORBm,P,PERI,PL,PM,POR,PORa,RL,RSPagl,RSPd,RSPv,SSp-bfd,SSp-lj,SSp-ll,SSp-nm,SSp-tr,SSp-ul,SSp-un,SSs,TEa,TEp,V1,VISC
PORa,3.63274027945,7.10786532177,7.24731404498,6.92763515661,3.48422635036,5.76863247667,1.64732498392,3.96741034214,1.58374030555,1.32297738044,0.623833824834,1.33957670745,0.886499827858,0.68440031434,8.57766527381,5.44627512553,8.97132022757,0.730619075976,1.29269765872,1.0680222797,3.95733031596,6.44577091049,7.23063724526,8.12777665505,9.30612338717,1.1271415163,1.35415376168,9.12307100503,3.32457336242,0.416621311471,,2.50673011795,4.44912932469,4.6850302753,4.91696183698,3.54010255607,5.53178004888,4.97978417135,5.907763651,4.3557724875,5.28252096146,4.41862558342,3.19164653308,1.56274947841,0.331037221994,2.1171818059,3.00133983215
RL,1.13212120855,4.79559631708,4.82661790648,5.98214047217,4.35045042797,5.5234975998,0.860547072146,1.46311818306,1.81582982063,2.1615874919,2.29015217154,2.72936520616,1.66187442046,2.89969635959,6.90548546489,4.87687434275,6.69945151095,1.82222600638,1.2416764643,1.64012074633,1.57105204774,4.59048428921,5.18323377796,7.02021149928,7.49395668633,2.70262291845,3.34744863797,7.06351868747,1.26728160275,2.38538572655,2.50673011795,,2.00293358817,2.27347985195,2.61779297772,2.06532153003,4.00093365898,2.66679496742,4.77890549753,1.91445959477,3.30554401226,2.37152797014,2.81850679918,3.17904358769,2.37751106603,1.45433149105,3.61627329051
RSPagl,1.10473681607,3.72457837252,3.45796815389,6.55262324925,6.11068711529,6.65530886369,2.82202971982,0.696160820983,3.76028099425,4.13808437212,4.28919286492,4.71351789125,3.64692951142,4.89382562387,6.65343426195,5.86811354834,5.56583825913,3.72906793167,3.23230040051,3.46043045784,0.527359247953,4.36465844871,4.57940261402,7.3529159225,7.02577017153,4.37766532549,5.34945837253,6.27497480378,1.3414786275,4.25652325038,4.44912932469,2.00293358817,,0.30914059419,0.825540404854,3.06770609818,4.29736807556,2.07672030956,5.33886933957,1.30499204502,3.18335584066,2.49875243024,4.30321032451,5.163188329,4.3575718364,2.73750974251,5.36376807494
RSPd,1.41322224378,3.79553644846,3.46678360112,6.81161531232,6.41739182529,6.95135231553,3.07344438226,1.00524195253,4.04958093104,4.42167231283,4.54984934597,4.99530508977,3.90077565225,5.14969486579,6.82356736254,6.15880760936,5.59948835925,3.9598231905,3.49022212984,3.67660336511,0.727732907352,4.55962505536,4.71892825038,7.58679508214,7.16346834426,4.55698636948,5.62024786146,6.36716323344,1.47831693362,4.47532182673,4.6850302753,2.27347985195,0.30914059419,,0.540612389214,3.3718506701,4.54834405164,2.28542505602,5.60319116023,1.56591481894,3.41119604565,2.76723298683,4.61228766797,5.44524152241,4.60700902258,2.89507958715,5.6704023538
RSPv,1.89415953393,4.18961332817,3.7863529116,7.35109380204,6.86447415073,7.48071289767,3.35832375253,1.50535979961,4.42716919277,4.77923783981,4.84297124809,5.3446907052,4.18187425217,5.42704848801,7.30938538875,6.69313036235,5.93587020093,4.18638680217,3.78540809465,3.8744556505,1.05641490435,5.06847275109,5.18087351011,8.11718333573,7.61807073324,4.66792287206,5.935071918,6.77381334426,1.6027038088,4.67031973261,4.91696183698,2.61779297772,0.825540404854,0.540612389214,,3.88782292986,5.08626538923,2.80886369561,6.14353601291,2.1064938234,3.9412269403,3.30783265372,5.09832081212,5.79368922183,4.87168844249,2.98919658836,6.11797049944
SSp-bfd,2.0212440151,3.84738933741,4.20984669815,3.91687701095,3.33685166197,3.62177690804,2.41493780419,2.38378347276,2.01093225797,2.40144387163,3.00299735473,2.86213576963,2.72878293919,3.53385423667,5.07777828224,2.88867963017,5.59194634148,3.14623037988,2.45395250965,3.19596991678,2.950018598,2.90649566746,3.72727067844,4.97255929876,5.77460149284,4.25188393352,3.61277086182,5.60457503257,3.1350024382,3.65904693769,3.54010255607,2.06532153003,3.06770609818,3.3718506701,3.88782292986,,2.0490477846,1.98318410724,2.71829824203,1.96534099163,1.80760287575,1.14237745057,1.37757145992,3.21500014289,3.25319955155,3.46005733022,2.63460784117
SSp-lj,3.54062356581,2.93212585412,3.60034717172,2.27327583692,4.26741316502,2.98981530995,4.45642706013,3.75292697315,3.95661085256,4.29658582104,4.95735615026,4.65159850606,4.75832264078,5.42722238213,3.04626176331,2.13221974796,4.20702756272,5.18735498516,4.50103819392,5.24500741588,4.40488515219,1.17362727329,2.16296085502,3.09029716871,3.79418889131,6.29735576532,5.36479625926,3.84941922154,4.85041538688,5.68522971061,5.53178004888,4.00093365898,4.29736807556,4.54834405164,5.08626538923,2.0490477846,,2.33218750806,1.11673064602,2.99266205713,1.21354935205,1.82568298072,2.63696327031,4.91248802342,5.22706493994,5.4448344678,3.7827974063
SSp-ll,1.70006385498,2.14020675942,2.30631926405,4.60361005663,5.31021955497,5.055026227,3.44433920893,1.70596360855,3.69358310208,4.11837486131,4.57362537273,4.65612130162,4.09393513558,5.17264458337,4.59983651075,4.20530294271,4.03613597593,4.38948672647,3.70377256727,4.27764791634,2.32655646259,2.28999915891,2.61737694856,5.31161640171,5.03664083229,5.35982281628,5.40031673467,4.44587739389,2.98471159181,4.95859028634,4.97978417135,2.66679496742,2.07672030956,2.28542505602,2.80886369561,1.98318410724,2.33218750806,,3.43367948791,0.879208455947,1.14146436229,0.868400907132,3.34682080969,5.05860967583,4.76131018102,4.02448197396,4.61690034617
SSp-nm,4.4964621513,3.9020235181,4.62108724682,1.22691930064,3.93333448976,2.03597385909,5.08863658668,4.75383998241,4.33402344452,4.6006339929,5.2969816907,4.83813613089,5.23211511964,5.67698642065,2.95233214084,1.25665370322,4.89052510703,5.68742150926,5.04770345171,5.81017560494,5.39697703622,1.96559378159,2.8932409166,2.26729383219,3.82807789791,6.80086396469,5.48248918538,4.24400656844,5.76051582821,6.12775934433,5.907763651,4.77890549753,5.33886933957,5.60319116023,6.14353601291,2.71829824203,1.11673064602,3.43367948791,,4.03771332671,2.32901732818,2.84042583047,2.75486763336,5.00905855789,5.58409420607,6.17517381126,3.6250706458
SSp-tr,0.847844409298,2.91214127371,2.91309020929,5.24870863462,5.23769983083,5.4361536761,2.74731050206,0.831425540866,3.24801021665,3.66880492629,4.0229931538,4.23642775691,3.47464637201,4.63730450458,5.46336551325,4.62381385691,4.81998345675,3.71243658162,3.0631019883,3.55392387768,1.46866049325,3.13583909341,3.49540731758,6.05579860724,5.91523883519,4.61330516083,4.95365148335,5.30918424077,2.10560963844,4.28178788649,4.3557724875,1.91445959477,1.30499204502,1.56591481894,2.1064938234,1.96534099163,2.99266205713,0.879208455947,4.03771332671,,1.90229139725,1.20206777667,3.31478124804,4.66690130221,4.17412560631,3.19257043417,4.50600615508
